App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
MEGA,PRODUCTIVITY,4.0,549973,Varies with device,"50,000,000+",Free,0,Everyone,Productivity,"July 4, 2018",Varies with device,Varies with device
Twitter,NEWS_AND_MAGAZINES,4.3,11667403,Varies with device,"500,000,000+",Free,0,Mature 17+,News & Magazines,"August 6, 2018",Varies with device,Varies with device
Amazon Shopping,SHOPPING,4.3,909226,42M,"100,000,000+",Free,0,Teen,Shopping,"July 31, 2018",16.14.0.100,4.4 and up
Meditate OM,HEALTH_AND_FITNESS,4.5,19074,4.2M,"1,000,000+",Free,0,Everyone,Health & Fitness,"January 17, 2018",16.0,4.0 and up
Alif Ba Ta Bullseye,FAMILY,,1,16M,5+,Paid,$1.99,Everyone,Educational,"May 30, 2016",1.1,2.2 and up
SketchBook - draw and paint,ENTERTAINMENT,4.3,256664,77M,"10,000,000+",Free,0,Everyone,Entertainment,"May 4, 2018",4.1.7,4.0.3 and up
Nike+ Run Club,HEALTH_AND_FITNESS,4.4,708710,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 12, 2018",2.17.0,4.4 and up
Devise Dz,FINANCE,4.0,26,3.6M,"1,000+",Free,0,Everyone,Finance,"May 29, 2017",1.0.0,4.0 and up
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68270,66M,"1,000,000+",Free,0,Everyone,Food & Drink,"June 20, 2018",5.0.0,4.4 and up
Educationboard Results BD,FAMILY,4.0,983,7.2M,"100,000+",Free,0,Everyone,Education,"June 12, 2018",1.0,4.0 and up
People's Bank,FINANCE,3.6,10697,46M,"1,000,000+",Free,0,Everyone,Finance,"July 18, 2018",3.22.1,4.1 and up
2019 Tricks Es File Explores,TOOLS,3.0,4,2.0M,"1,000+",Free,0,Everyone,Tools,"March 16, 2016",1.0,2.2 and up
Rockmaraton Info,EVENTS,,49,13M,"1,000+",Free,0,Everyone,Events,"July 8, 2018",18.4,4.4 and up
Tango - Live Video Broadcast,SOCIAL,4.3,3806669,Varies with device,"100,000,000+",Free,0,Mature 17+,Social,"August 1, 2018",Varies with device,Varies with device
Ninja FN Button,FAMILY,4.8,12,12M,"1,000+",Free,0,Teen,Entertainment,"July 4, 2018",1.1,4.0 and up
Events High - Meet Your City!,EVENTS,4.2,3200,Varies with device,"100,000+",Free,0,Everyone 10+,Events,"June 23, 2018",Varies with device,Varies with device
BlueJeans for Android,BUSINESS,3.9,1058,23M,"500,000+",Free,0,Everyone,Business,"June 29, 2018",2.22.397,5.0 and up
Cъновник BG,BOOKS_AND_REFERENCE,,13,4.1M,"1,000+",Free,0,Everyone,Books & Reference,"January 21, 2017",250,4.0 and up
Caviar - Food Delivery,FOOD_AND_DRINK,4.2,3755,8.5M,"100,000+",Free,0,Everyone,Food & Drink,"July 20, 2018",2.4.11,6.0 and up
Skater Boy,GAME,4.3,1167143,12M,"100,000,000+",Free,0,Everyone,Arcade,"September 20, 2017",1.18.35,4.1 and up
AK-47 guns Sounds,FAMILY,,2,5.1M,100+,Free,0,Everyone,Entertainment,"June 28, 2018",666,4.0 and up
LOBSTR - go on a lunch date,DATING,3.7,101,15M,"10,000+",Free,0,Mature 17+,Dating,"July 24, 2018",2,4.1 and up
Geeks Dating,DATING,,0,13M,50+,Free,0,Mature 17+,Dating,"July 10, 2018",1.0,4.1 and up
Kaspersky Mobile Antivirus: AppLock & Web Security,TOOLS,4.7,2598579,49M,"50,000,000+",Free,0,Everyone,Tools,"July 24, 2018",11.17.4.1024,4.1 and up
BH Mail,COMMUNICATION,3.4,7,6.0M,"1,000+",Free,0,Everyone,Communication,"April 3, 2018",5.403,4.0.3 and up
Baby Monitor AV,COMMUNICATION,3.3,1434,9.5M,"100,000+",Free,0,Everyone,Communication,"March 6, 2014",1.2.5,2.3 and up
FD Shift Calendar Widget,TOOLS,4.1,981,73k,"100,000+",Free,0,Everyone,Tools,"March 16, 2011",1.2.4,1.6 and up
CP Trivia,GAME,5.0,5,12M,100+,Free,0,Everyone,Trivia,"August 6, 2018",0.99,5.0 and up
GetThemAll Any File Downloader,TOOLS,4.2,91186,6.3M,"5,000,000+",Free,0,Everyone,Tools,"May 22, 2018",2.0.9,4.0 and up
CAPTCHA Pack for Sleep as Android,LIFESTYLE,4.0,448,3.1M,"50,000+",Free,0,Everyone,Lifestyle,"June 8, 2018",1.3,2.3 and up
S Note,PRODUCTIVITY,4.1,12435,31M,"10,000,000+",Free,0,Everyone,Productivity,"September 26, 2017",Varies with device,6.0 and up
"360 Security - Free Antivirus, Booster, Cleaner",TOOLS,4.6,16771865,Varies with device,"100,000,000+",Free,0,Everyone,Tools,"August 4, 2018",Varies with device,Varies with device
Koi Live Wallpaper,PERSONALIZATION,4.6,14026,12M,"100,000+",Paid,$0.99,Everyone,Personalization,"June 24, 2014",1.9,2.2 and up
Moven - Smart Finances,FINANCE,3.8,861,17M,"100,000+",Free,0,Everyone,Finance,"May 29, 2018",3.3.9,4.4 and up
DV - Digito Verificador,TOOLS,,2,4.2M,500+,Free,0,Everyone,Tools,"March 2, 2017",1.0,4.0 and up
Angry Shark 2016,FAMILY,4.0,73185,46M,"5,000,000+",Free,0,Teen,Simulation,"November 1, 2017",1.6,4.0 and up
E.G. Chess Free,GAME,4.0,505,23M,"10,000+",Free,0,Everyone,Board,"December 6, 2014",1.0.28,2.3 and up
APUS File Manager (Explorer),TOOLS,4.1,498894,10M,"50,000,000+",Free,0,Everyone,Tools,"August 2, 2018",2.8.9.1004,4.0.3 and up
Glam - Premium Dating App,DATING,4.3,23170,9.0M,"500,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.5.4.0,4.1 and up
"FirstCry Baby & Kids Shopping, Fashion & Parenting",SHOPPING,4.1,41074,16M,"5,000,000+",Free,0,Everyone,Shopping,"June 27, 2018",68,4.1 and up
Official Matsumoto Kiyoshi application,LIFESTYLE,3.2,3031,2.7M,"1,000,000+",Free,0,Everyone,Lifestyle,"July 3, 2018",1.5.3,4.0 and up
Google PDF Viewer,PRODUCTIVITY,4.2,226456,Varies with device,"10,000,000+",Free,0,Everyone,Productivity,"October 9, 2017",Varies with device,Varies with device
Mini DV,AUTO_AND_VEHICLES,3.5,12,19M,"5,000+",Free,0,Everyone,Auto & Vehicles,"May 29, 2018",1.27,4.0 and up
Elemental Galaxy Dx - Match3,FAMILY,4.0,127,14M,"10,000+",Free,0,Everyone,Puzzle,"March 11, 2014",1.0.9,2.2 and up
17th Edition Cable Sizer,BOOKS_AND_REFERENCE,4.4,47,1.4M,"1,000+",Paid,$3.08,Everyone,Books & Reference,"May 27, 2016",1.22,2.2 and up
"Phogy, 3D Camera",PHOTOGRAPHY,4.0,35724,9.9M,"1,000,000+",Free,0,Everyone,Photography,"February 11, 2015",1.40,4.0 and up
Lottery Driver- Florida Result,FAMILY,4.4,70,4.4M,"5,000+",Free,0,Teen,Entertainment,"April 16, 2017",2.5,4.1 and up
Pou,GAME,4.3,10486018,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up
FR: My Secret Pets! ,FAMILY,4.0,785,31M,"50,000+",Free,0,Teen,Entertainment,"June 3, 2015",1.3.1,3.0 and up
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,"1,000,000+",Free,0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up
AI Benchmark,TOOLS,4.0,97,99M,"5,000+",Free,0,Everyone,Tools,"June 29, 2018",2.0.0,4.1 and up
AH Kollection for KLWP,PERSONALIZATION,4.6,644,59M,"50,000+",Free,0,Everyone,Personalization,"April 30, 2017",Version 1.20,4.4 and up
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up
CT Abdomen,FAMILY,4.3,7,62M,"1,000+",Free,0,Everyone,Education,"February 21, 2017",1.0,4.4 and up
Blogaway for Android (Blogger),SOCIAL,3.7,4253,4.1M,"100,000+",Free,0,Teen,Social,"May 31, 2018",7.0.7,4.0.3 and up
THE KING OF FIGHTERS-A 2012(F),GAME,4.4,406511,21M,"5,000,000+",Free,0,Teen,Action,"October 21, 2016",1.0.5,4.0.3 and up
Sam.BN Pro,TOOLS,,11,2.0M,10+,Paid,$0.99,Everyone,Tools,"March 27, 2015",1.0.0,4.0.3 and up
Zynga Poker – Texas Holdem,GAME,4.4,1986068,52M,"50,000,000+",Free,0,Teen,Casino,"July 25, 2018",21.54,4.1 and up
ODTMobile v4,BUSINESS,4.0,3,16M,"1,000+",Free,0,Everyone,Business,"April 17, 2018",1.10,4.1 and up
Two Nights at jumpscare,GAME,3.8,596,91M,"100,000+",Free,0,Teen,Adventure,"August 17, 2017",1.0,4.1 and up
Brandon Lakes AH,MEDICAL,2.6,5,27M,100+,Free,0,Everyone,Medical,"May 5, 2017",300000.0.79,4.0.3 and up
HOW TO WRITE A CV,BUSINESS,4.1,489,20M,"100,000+",Free,0,Everyone,Business,"June 27, 2018",14.0,4.0.3 and up
Super Ear,MEDICAL,4.0,3498,6.6M,"100,000+",Free,0,Everyone,Medical,"May 1, 2018",1.7.2,4.0 and up
EZ Pass,TOOLS,2.5,15,228k,"5,000+",Free,0,Everyone,Tools,"September 10, 2016",1.3,2.3 and up
Monster Park AR - Jurassic Dinosaurs in Real World,FAMILY,3.7,128,20M,"10,000+",Free,0,Everyone,Entertainment,"March 8, 2018",1.2.2.122,7.0 and up
auto fines,AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up
Dr. Seuss's ABC,FAMILY,4.7,429,12M,"10,000+",Paid,$3.99,Everyone,Books & Reference;Education,"February 26, 2018",2.05,4.0.3 and up
C W Browser,COMMUNICATION,4.4,14,17M,100+,Free,0,Everyone,Communication,"October 28, 2017",1.0,4.0 and up
Random Video Chat App With Strangers,DATING,,3,4.8M,"1,000+",Free,0,Mature 17+,Dating,"July 17, 2018",1.,4.0 and up
Basketball Dynasty Manager 16,SPORTS,4.4,426,21M,"5,000+",Paid,$1.99,Everyone,Sports,"June 1, 2016",2.2.3,4.0 and up
Chat Click - Dating Search,DATING,,4,3.8M,500+,Free,0,Mature 17+,Dating,"July 11, 2018",1.0,3.0 and up
Cerebral Palsy,MEDICAL,4.4,38,8.5M,"1,000+",Free,0,Everyone,Medical,"July 30, 2014",2,3.0 and up
PBS KIDS Video,EDUCATION,4.2,36212,Varies with device,"5,000,000+",Free,0,Everyone,Education;Music & Video,"July 12, 2018",Varies with device,Varies with device
EP Chain Reaction,FAMILY,3.9,249,21M,"10,000+",Free,0,Everyone,Casual;Brain Games,"April 10, 2016",1.2.2,2.3 and up
PayPal,FINANCE,4.3,659741,47M,"50,000,000+",Free,0,Everyone,Finance,"July 18, 2018",6.28.0,4.4 and up
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,$4.99,Everyone,Business,"March 25, 2018",1.5.2,4.0 and up
Forgotten Hill Mementoes,GAME,4.6,2027,56M,"100,000+",Free,0,Teen,Adventure,"March 19, 2018",1.5,4.1 and up
Roll Call News,NEWS_AND_MAGAZINES,3.7,24,10M,"5,000+",Free,0,Everyone,News & Magazines,"December 24, 2015",1.1,4.1 and up
Telstra,LIFESTYLE,3.0,4260,6.3M,"5,000,000+",Free,0,Everyone,Lifestyle,"August 8, 2017",6.1,2.3.3 and up
AP Manager,TOOLS,4.0,177,2.8M,"10,000+",Free,0,Everyone,Tools,"May 4, 2015",1.0.8,2.3 and up
NFL,SPORTS,4.1,459795,Varies with device,"50,000,000+",Free,0,Everyone,Sports,"August 2, 2018",Varies with device,Varies with device
Frequencies,TOOLS,4.2,11,3.1M,500+,Paid,$0.99,Everyone,Tools,"February 4, 2018",1.9,4.0.3 and up
Yongqing fast search,HOUSE_AND_HOME,3.7,1437,Varies with device,"100,000+",Free,0,Everyone,House & Home,"August 2, 2018",Varies with device,Varies with device
Pushbullet - SMS on PC,PRODUCTIVITY,4.5,176873,4.5M,"1,000,000+",Free,0,Everyone,Productivity,"October 30, 2017",17.7.20,4.1 and up
Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,11M,100+,Paid,$2.99,Everyone,Productivity,"September 26, 2016",2,3.2 and up
CVS Caremark,MEDICAL,3.5,3707,10M,"500,000+",Free,0,Everyone,Medical,"July 28, 2018",4.36,4.4 and up
あなカレ【BL】無料ゲーム,FAMILY,4.7,6073,8.5M,"100,000+",Free,0,Mature 17+,Simulation,"February 25, 2018",4.2.2,2.3 and up
FL Racing Manager 2015 Pro,SPORTS,4.4,656,22M,"5,000+",Paid,$0.99,Everyone,Sports,"March 12, 2016",0.858,3.0 and up
Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,$3.99,Everyone,Education;Pretend Play,"October 28, 2016",1.1,4.0.3 and up
CF Chat: Connecting Friends,COMMUNICATION,3.4,5,2.4M,100+,Free,0,Teen,Communication,"April 27, 2016",1.4,2.3 and up
Norton Security and Antivirus,TOOLS,4.6,1170641,26M,"10,000,000+",Free,0,Everyone,Tools,"July 26, 2018",4.2.1.4174,4.1 and up
SnakeBite911 FR,MEDICAL,,1,42M,500+,Free,0,Everyone,Medical,"October 9, 2017",1.2,4.1 and up
EF First,FAMILY,,0,1.6M,1+,Free,0,Everyone,Entertainment,"February 9, 2018",1.0,4.0.3 and up
Just Dance Now,GAME,4.2,794058,56M,"10,000,000+",Free,0,Everyone,Music,"June 12, 2018",2.3.0,4.4 and up
Vienna U-Bahn,MAPS_AND_NAVIGATION,3.9,139,2.0M,"10,000+",Free,0,Everyone,Maps & Navigation,"July 25, 2018",1.21.0,4.0 and up
RadPad: Apartment Finder App,HOUSE_AND_HOME,4.4,6896,35M,"500,000+",Free,0,Everyone,House & Home,"August 30, 2017",1.7.3,4.1 and up
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,,114,7.3M,"100,000+",Free,0,Everyone,Books & Reference,"August 7, 2015",1.1,5.1 and up
Ovia Parenting & Baby Development Tracker,MEDICAL,4.7,6185,38M,"100,000+",Free,0,Everyone,Medical,"August 3, 2018",1.2.0,4.3 and up
Extreme Coupon Finder,SHOPPING,4.1,11798,Varies with device,"1,000,000+",Free,0,Everyone,Shopping,"May 10, 2018",Varies with device,Varies with device
VMate Lite - Funny Short Videos Social Network,SOCIAL,4.3,903,4.6M,"1,000,000+",Free,0,Teen,Social,"August 3, 2018",1.76,4.0.3 and up
Google Docs,PRODUCTIVITY,4.3,815974,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device
C Offline Tutorial,BOOKS_AND_REFERENCE,4.7,88,4.2M,"1,000+",Free,0,Everyone,Books & Reference,"December 8, 2017",1.0.1,4.1 and up
Keyboard for Sony Xperia J,PERSONALIZATION,4.1,797,6.7M,"50,000+",Free,0,Everyone,Personalization,"July 29, 2018",1.279.13.98,4.0.3 and up
ibis Paint X,ART_AND_DESIGN,4.6,224399,31M,"10,000,000+",Free,0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up
Keep Trainer - Workout Trainer & Fitness Coach,HEALTH_AND_FITNESS,4.7,14810,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",Varies with device,Varies with device
Phone Clean Best Speed Booster,PRODUCTIVITY,4.5,81502,Varies with device,"1,000,000+",Free,0,Everyone,Productivity,"March 29, 2018",Varies with device,Varies with device
Pepsi Cards DC,COMICS,,1,21M,50+,Free,0,Everyone 10+,Comics,"June 26, 2018",0.0.4,4.4 and up
Football-CB GO Clock Theme,PERSONALIZATION,4.7,26,5.6M,"1,000+",Free,0,Everyone,Personalization,"March 3, 2017",1.0.3,4.0.3 and up
Camera for Android,PHOTOGRAPHY,4.2,240475,9.5M,"10,000,000+",Free,0,Everyone,Photography,"November 22, 2017",3.8,4.0 and up
Bible Quizzer - The App for Bible Quizzers,FAMILY,,0,33M,100+,Free,0,Everyone,Education,"August 2, 2018",30.0,4.2 and up
Sago Mini Friends,FAMILY,4.4,13155,83M,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"June 16, 2016",1.3,4.0.3 and up
Fun Kid Racing - Motocross,FAMILY,4.1,59768,Varies with device,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"August 7, 2018",3.53,4.2 and up
Toys Defense: Horror Land,FAMILY,3.8,168,24M,"10,000+",Free,0,Everyone,Strategy,"March 1, 2017",1.2.2,4.0.3 and up
Uber,MAPS_AND_NAVIGATION,4.2,4928420,Varies with device,"100,000,000+",Free,0,Everyone,Maps & Navigation,"August 6, 2018",Varies with device,Varies with device
Image 2 Wallpaper,TOOLS,4.3,81668,Varies with device,"5,000,000+",Free,0,Everyone,Tools,"December 26, 2016",Varies with device,Varies with device
Black Theme Go Launcher EX,PERSONALIZATION,4.1,285,3.9M,"50,000+",Free,0,Teen,Personalization,"October 3, 2017",5.0,2.3 and up
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
"busuu: Learn Languages - Spanish, English & More",FAMILY,4.3,207294,21M,"10,000,000+",Free,0,Everyone 10+,Education,"August 1, 2018",13.9.0.161,5.0 and up
Starfall Free & Member,FAMILY,4.2,19720,41M,"1,000,000+",Free,0,Everyone,Education;Education,"November 7, 2017",1.35.23,4.0 and up
Does not Commute,GAME,4.0,154108,78M,"5,000,000+",Free,0,Everyone,Racing,"October 13, 2015",1.4.2,2.3 and up
Recycling Cy,LIFESTYLE,4.0,47,4.5M,"1,000+",Free,0,Everyone,Lifestyle,"August 2, 2017",2.0,3.2 and up
BAC DZ Questionnaire,FAMILY,4.0,38,Varies with device,"5,000+",Free,0,Everyone,Education,"May 25, 2018",Varies with device,Varies with device
tinyCam Monitor FREE,HOUSE_AND_HOME,4.0,65914,Varies with device,"10,000,000+",Free,0,Everyone,House & Home,"June 29, 2018",Varies with device,Varies with device
Aj Di Awaaz,NEWS_AND_MAGAZINES,,9,1.1M,500+,Free,0,Everyone,News & Magazines,"September 7, 2016",1.0,4.1 and up
Showtime Anytime,FAMILY,3.7,18522,Varies with device,"1,000,000+",Free,0,Teen,Entertainment,"July 2, 2018",Varies with device,Varies with device
Vigo Video,VIDEO_PLAYERS,4.3,1615596,Varies with device,"50,000,000+",Free,0,Teen,Video Players & Editors,"August 3, 2018",Varies with device,4.0.3 and up
FE Connect Fhoton,TOOLS,,0,1.8M,100+,Free,0,Everyone,Tools,"November 28, 2017",1.1,4.0.3 and up
Fate/Grand Order (English),GAME,4.4,16601,55M,"500,000+",Free,0,Teen,Role Playing,"July 26, 2018",1.18.0,4.0 and up
Cytus,GAME,4.7,541732,20M,"5,000,000+",Free,0,Everyone,Music,"February 9, 2018",10.0.10,2.3 and up
Cheat Codes for GTA V,FAMILY,4.3,589,3.6M,"100,000+",Free,0,Mature 17+,Entertainment,"September 3, 2017",1.8.0,4.0 and up
AL Voice Recorder,PRODUCTIVITY,3.6,4832,2.4M,"1,000,000+",Free,0,Everyone,Productivity,"November 22, 2016",2.1.7.3,3.0 and up
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122280,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device
Texas Hold'em Poker,GAME,3.6,12846,14M,"1,000,000+",Free,0,Teen,Casino,"December 29, 2017",3.3,4.1 and up
"Onet - news, weather, sport",NEWS_AND_MAGAZINES,4.0,13950,Varies with device,"1,000,000+",Free,0,Mature 17+,News & Magazines,"August 6, 2018",Varies with device,Varies with device
Loved by King Bs,FAMILY,4.6,5546,85M,"100,000+",Free,0,Everyone,Simulation,"June 15, 2018",1.21,4.0.3 and up
PRIMATURE.CD,NEWS_AND_MAGAZINES,,6,4.8M,100+,Free,0,Everyone,News & Magazines,"October 30, 2017",6.3.7.1,4.1 and up
Lezhin Comics - Daily Releases,COMICS,3.0,28447,15M,"1,000,000+",Free,0,Teen,Comics,"July 31, 2018",Varies with device,Varies with device
eCooltra: scooter sharing. Share electric scooters,TRAVEL_AND_LOCAL,4.2,2822,27M,"100,000+",Free,0,Everyone,Travel & Local,"July 27, 2018",1.21.2,4.1 and up
Room Painting Ideas,HOUSE_AND_HOME,4.0,4450,7.6M,"1,000,000+",Free,0,Everyone,House & Home,"March 17, 2015",1.7,3.0 and up
FQ India,LIFESTYLE,,0,8.9M,10+,Free,0,Everyone,Lifestyle,"July 31, 2018",7.2.2,4.1 and up
Real Basketball,SPORTS,4.5,1605267,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"December 5, 2016",Varies with device,Varies with device
NOOK Audiobooks,BOOKS_AND_REFERENCE,3.5,2539,8.6M,"500,000+",Free,0,Everyone,Books & Reference,"July 26, 2018",v1.1.6,4.1 and up
Deposit Calculator FD & RD,FINANCE,4.4,18,3.4M,"10,000+",Free,0,Everyone,Finance,"January 21, 2017",1.1,3.0 and up
Blender BG - Photo Blend With Background,PHOTOGRAPHY,,0,7.8M,100+,Free,0,Everyone,Photography,"September 20, 2017",1.0,4.2 and up
The 5th Stand,SPORTS,4.8,1664,17M,"100,000+",Free,0,Everyone,Sports,"July 31, 2018",1.2.677,4.4 and up
Modern Strike Online,GAME,4.3,834117,44M,"10,000,000+",Free,0,Teen,Action,"July 30, 2018",1.25.4,4.1 and up
CM Launcher 3D Pro💎,PERSONALIZATION,4.7,23802,173k,"100,000+",Paid,$4.99,Everyone,Personalization,"November 17, 2016",1.0.9,4.0 and up
Funny Ringtones,PERSONALIZATION,4.4,7146,14M,"1,000,000+",Free,0,Everyone 10+,Personalization,"February 2, 2018",1.1,4.0 and up
HomeAway Vacation Rentals,TRAVEL_AND_LOCAL,4.3,30403,Varies with device,"5,000,000+",Free,0,Everyone,Travel & Local,"August 1, 2018",Varies with device,Varies with device
"Meet4U - Chat, Love, Singles!",DATING,4.2,40035,6.5M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.3,4.0.3 and up
"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.3,16943,32M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 30, 2018",8.8.14,4.4 and up
Resume Builder - Free CV Maker & Premium Templates,BUSINESS,4.6,770,5.6M,"100,000+",Free,0,Everyone,Business,"August 3, 2018",1.9,4.4 and up
GO SMS PRO EMOJI PLUGIN,PERSONALIZATION,3.5,84779,8.5M,"5,000,000+",Free,0,Everyone,Personalization,"June 4, 2018",2.4,4.0 and up
Gear.Club - True Racing,GAME,4.4,140658,37M,"1,000,000+",Free,0,Everyone,Racing,"August 1, 2018",1.21.2,4.3 and up
The NBC App - Watch Live TV and Full Episodes,FAMILY,4.1,58104,17M,"5,000,000+",Free,0,Teen,Entertainment,"July 5, 2018",4.18.1,4.1 and up
Frozen Free Fall,FAMILY,4.3,1574197,37M,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up
Tunnel Town,FAMILY,4.4,74744,60M,"1,000,000+",Free,0,Everyone,Strategy,"July 26, 2018",1.5.6,4.1 and up
7 Cups: Anxiety & Stress Chat,HEALTH_AND_FITNESS,4.2,13799,Varies with device,"500,000+",Free,0,Teen,Health & Fitness,"July 31, 2018",Varies with device,Varies with device
EY Expenses,FINANCE,,0,10M,"1,000+",Free,0,Everyone,Finance,"July 9, 2018",1.1,4.1 and up
CT and XR Dose Calculator,MEDICAL,,3,97k,50+,Paid,$0.99,Everyone,Medical,"January 22, 2014",2014.01,1.6 and up
Tik Tok - including musical.ly,SOCIAL,4.4,5637451,59M,"100,000,000+",Free,0,Teen,Social,"August 3, 2018",8.0.0,4.1 and up
Bolt - EV Charging Service,AUTO_AND_VEHICLES,3.0,9,8.4M,100+,Free,0,Everyone,Auto & Vehicles,"March 23, 2018",2.2.0,5.0 and up
Hey That's Pretty Good!,TOOLS,4.6,222,10M,"10,000+",Free,0,Everyone,Tools,"July 29, 2016",4.2.0,2.3 and up
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up
LEGO® Friends: Heartlake Rush,FAMILY,4.5,23671,91M,"1,000,000+",Free,0,Everyone,Arcade;Pretend Play,"July 31, 2018",1.2.0,4.1 and up
Portable Wi-Fi hotspot Free,COMMUNICATION,4.0,1711,2.1M,"100,000+",Free,0,Everyone,Communication,"January 11, 2018",1.2.5.4-11,2.3 and up
"CM Security Open VPN - Free, fast unlimited proxy",TOOLS,4.6,85496,5.8M,"1,000,000+",Free,0,Everyone,Tools,"February 14, 2018",1.6.2,4.0.3 and up
"Free phone calls, free texting SMS on free number",SOCIAL,4.5,412888,35M,"10,000,000+",Free,0,Everyone,Social,"July 31, 2018",3.8.1,4.1 and up
"CheapTickets – Hotels, Flights & Travel Deals",TRAVEL_AND_LOCAL,4.4,6925,Varies with device,"1,000,000+",Free,0,Everyone,Travel & Local,"July 25, 2018",Varies with device,Varies with device
"Cymera Camera- Photo Editor, Filter,Collage,Layout",PHOTOGRAPHY,4.4,2418158,Varies with device,"100,000,000+",Free,0,Everyone,Photography,"July 12, 2018",Varies with device,Varies with device
Teeny Titans - Teen Titans Go!,FAMILY,4.6,20463,25M,"100,000+",Paid,$3.99,Everyone 10+,Strategy;Action & Adventure,"July 18, 2018",1.2.1,4.1 and up
Learn C++,EDUCATION,4.6,73404,5.3M,"1,000,000+",Free,0,Everyone,Education,"December 25, 2017",4.5.2,4.0 and up
CF,FINANCE,5.0,2,2.0M,100+,Free,0,Everyone,Finance,"March 30, 2016",1.1,4.0 and up
db.Mobil App,LIBRARIES_AND_DEMO,4.5,23,31M,"5,000+",Free,0,Everyone,Libraries & Demo,"July 11, 2018",3.4.5,3.0 and up
ear super hearing,MEDICAL,,0,1.4M,5+,Free,0,Everyone,Medical,"July 31, 2018",1.0 Super Ear Hearing,4.0 and up
Ex Quotes,LIFESTYLE,4.4,129,8.1M,"50,000+",Free,0,Everyone 10+,Lifestyle,"June 16, 2018",3.0.1,4.1 and up
CM Launcher Default Theme,PERSONALIZATION,4.5,3989,1.1M,"100,000+",Free,0,Everyone,Personalization,"September 11, 2015",1.1.1,4.0 and up
Cy-Fair Christian Church,LIFESTYLE,5.0,2,9.3M,100+,Free,0,Everyone,Lifestyle,"August 3, 2017",24.8.1,4.1 and up
EyPools,HOUSE_AND_HOME,,2,656k,100+,Free,0,Everyone,House & Home,"November 24, 2017",1.3,4.0 and up
Real Estate by Movoto,LIFESTYLE,4.4,3114,13M,"100,000+",Free,0,Everyone,Lifestyle,"February 20, 2018",6.1,4.0.3 and up
Udacity - Lifelong Learning,EDUCATION,4.3,22384,17M,"1,000,000+",Free,0,Everyone,Education,"July 31, 2018",4.7.0,5.0 and up
Multiple Sclerosis Dx & Mgmt.,MEDICAL,4.5,131,60M,"10,000+",Free,0,Everyone,Medical,"September 25, 2017",5.0,4.4 and up
Jungle Marble Blast,GAME,4.3,18985,23M,"5,000,000+",Free,0,Everyone,Casual,"July 23, 2018",1.5.4,4.0.3 and up
Video Downloader,VIDEO_PLAYERS,4.2,58981,5.4M,"10,000,000+",Free,0,Everyone,Video Players & Editors,"August 3, 2018",1.0.8,4.4 and up
TN Patta /Chitta /EC New,SOCIAL,4.8,5,3.0M,100+,Free,0,Teen,Social,"July 20, 2018",1.0,4.0 and up
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"March 22, 2018",Varies with device,Varies with device
